asset,scientific_role,source_original_path,source_sha256,related_run,copied_or_parsed,notes
analysis/residual_gate/S1_re_lcrd_gradient_history.csv,RE-Gated LC-RD gradient history,<LOCAL_ASSET_ROOT>/MIDDLE_TEACHER_RUN_EXTRAS_ARCHIVE_20260907/run_extras/TRANSFER_RESET_REGLCRD_SAM_L020/TR-REGLCRD-SAM-L020-BUDGET010-S1/re_lcrd_gradient_history.csv,1c58dba84e0d350f61056efaaa81fbb119a66663d0998612802dce747c6f30c8,TR-REGLCRD-SAM-L020-BUDGET010-S1,copied,
analysis/residual_gate/S1_residual_gate_definition.json,residual gate definition and frozen recipe,src/checkpoint/middle_teacher/TRANSFER_RESET_REGLCRD_SAM_L020/TR-REGLCRD-SAM-L020-BUDGET010-S1/best_metrics.json,f3578cb638e89d08862d04fb98877b5be6a3c990dbe6256383e223e396411f5b,TR-REGLCRD-SAM-L020-BUDGET010-S1,parsed,No parameters inferred
analysis/teacher_withdrawal/RMD_S0_rmd_loss_history.csv,RMD loss history,<LOCAL_ASSET_ROOT>/MIDDLE_TEACHER_RUN_EXTRAS_ARCHIVE_20260907/run_extras/TRANSFER_RESET_RMD_REGLCRD_SAM_L020/TR-RMD-REGLCRD-SAM-L020-BUDGET010-S0/rmd_loss_history.csv,ce6a545aa3905669e812d56526cc259a2ab28eb6296d6f4606466f8e80347aaa,TR-RMD-REGLCRD-SAM-L020-BUDGET010-S0,copied,
analysis/teacher_withdrawal/RMD_S0_rmd_residual_mass_history.csv,RMD residual mass and teacher-withdrawal factor history,<LOCAL_ASSET_ROOT>/MIDDLE_TEACHER_RUN_EXTRAS_ARCHIVE_20260907/run_extras/TRANSFER_RESET_RMD_REGLCRD_SAM_L020/TR-RMD-REGLCRD-SAM-L020-BUDGET010-S0/rmd_residual_mass_history.csv,6264b015e7c3531e0efaec3af5f11a840048cfc019c23ca406c1b2ed8abe4f09,TR-RMD-REGLCRD-SAM-L020-BUDGET010-S0,copied,
analysis/teacher_withdrawal/RMD_S1_rmd_loss_history.csv,RMD loss history,<LOCAL_ASSET_ROOT>/MIDDLE_TEACHER_RUN_EXTRAS_ARCHIVE_20260907/run_extras/TRANSFER_RESET_RMD_REGLCRD_SAM_L020/TR-RMD-REGLCRD-SAM-L020-BUDGET010-S1/rmd_loss_history.csv,32e3652e328a03b4beaddb4773e88b0918658f8f47569097c0991248d7f856c2,TR-RMD-REGLCRD-SAM-L020-BUDGET010-S1,copied,
analysis/teacher_withdrawal/RMD_S1_rmd_residual_mass_history.csv,RMD residual mass and teacher-withdrawal factor history,<LOCAL_ASSET_ROOT>/MIDDLE_TEACHER_RUN_EXTRAS_ARCHIVE_20260907/run_extras/TRANSFER_RESET_RMD_REGLCRD_SAM_L020/TR-RMD-REGLCRD-SAM-L020-BUDGET010-S1/rmd_residual_mass_history.csv,b5c2ee583a3048b21d1832463e553df2e2b416244ff86f7f13a187ab78590854,TR-RMD-REGLCRD-SAM-L020-BUDGET010-S1,copied,
analysis/teacher_withdrawal/SRMD_S0_srmd_loss_history.csv,SRMD loss history,<LOCAL_ASSET_ROOT>/MIDDLE_TEACHER_RUN_EXTRAS_ARCHIVE_20260907/run_extras/TRANSFER_RESET_SRMD_REGLCRD_SAM_L020/TR-SRMD-REGLCRD-SAM-L020-BUDGET010-S0/srmd_loss_history.csv,995e10b6f08d197c323c2eda958d047f1e513e410c3d7cb4dbe482f1a5acae02,TR-SRMD-REGLCRD-SAM-L020-BUDGET010-S0,copied,
analysis/teacher_withdrawal/SRMD_S0_srmd_teacher_withdrawal_history.csv,SRMD residual mass and teacher-withdrawal factor history,<LOCAL_ASSET_ROOT>/MIDDLE_TEACHER_RUN_EXTRAS_ARCHIVE_20260907/run_extras/TRANSFER_RESET_SRMD_REGLCRD_SAM_L020/TR-SRMD-REGLCRD-SAM-L020-BUDGET010-S0/srmd_teacher_withdrawal_history.csv,9a3c587b050312bf151daab25205efc9be24f4c8cab075e02592513f6146a9c5,TR-SRMD-REGLCRD-SAM-L020-BUDGET010-S0,copied,
analysis/teacher_withdrawal/SRMD_S1_srmd_loss_history.csv,SRMD loss history,<LOCAL_ASSET_ROOT>/MIDDLE_TEACHER_RUN_EXTRAS_ARCHIVE_20260907/run_extras/TRANSFER_RESET_SRMD_REGLCRD_SAM_L020/TR-SRMD-REGLCRD-SAM-L020-BUDGET010-S1/srmd_loss_history.csv,8865cd60931eb87f62408799e2a5a4d24fdbd70320c4a4e5e6ca4593b67f9ae8,TR-SRMD-REGLCRD-SAM-L020-BUDGET010-S1,copied,
analysis/teacher_withdrawal/SRMD_S1_srmd_teacher_withdrawal_history.csv,SRMD residual mass and teacher-withdrawal factor history,<LOCAL_ASSET_ROOT>/MIDDLE_TEACHER_RUN_EXTRAS_ARCHIVE_20260907/run_extras/TRANSFER_RESET_SRMD_REGLCRD_SAM_L020/TR-SRMD-REGLCRD-SAM-L020-BUDGET010-S1/srmd_teacher_withdrawal_history.csv,b8f28e8a33c44b7bd092e23238f4ae4e24a4d601f3d4829198a4fa2c3cc09c6a,TR-SRMD-REGLCRD-SAM-L020-BUDGET010-S1,copied,
